2B001,2B,CR2,AER,KZN,2018-06-11T18:45:00,2018-06-12T02:35:00
2B002,2B,CR2,ASF,KZN,2018-06-15T04:20:00,2018-06-15T07:25:00
2B003,2B,CR2,ASF,MRV,2018-06-12T09:10:00,2018-06-12T16:35:00
2B004,2B,CR2,CEK,KZN,2018-06-10T06:55:00,2018-06-10T14:55:00
2B005,2B,CR2,CEK,OVB,2018-06-15T12:30:00,2018-06-15T18:50:00
2B006,2B,CR2,DME,KZN,2018-06-12T18:35:00,2018-06-12T22:35:00
2B007,2B,CR2,DME,NBC,2018-06-11T06:30:00,2018-06-11T09:10:00
2B008,2B,CR2,DME,TGK,2018-06-11T14:20:00,2018-06-11T18:50:00
2B009,2B,CR2,DME,UUA,2018-06-14T12:25:00,2018-06-14T18:00:00
2B010,2B,CR2,EGO,KGD,2018-06-12T15:25:00,2018-06-12T21:50:00
2B011,2B,CR2,EGO,KZN,2018-06-11T19:05:00,2018-06-11T23:20:00
2B012,2B,CR2,GYD,NBC,2018-06-10T15:55:00,2018-06-10T19:55:00
2B013,2B,CR2,KGD,EGO,2018-06-10T14:50:00,2018-06-10T21:40:00
2B014,2B,CR2,KZN,AER,2018-06-14T00:35:00,2018-06-14T06:35:00
2B015,2B,CR2,KZN,ASF,2018-06-15T05:25:00,2018-06-15T11:05:00
2B016,2B,CR2,KZN,CEK,2018-06-13T22:30:00,2018-06-14T02:30:00
2B017,2B,CR2,KZN,DME,2018-06-15T18:00:00,2018-06-16T01:10:00
2B018,2B,CR2,KZN,EGO,2018-06-15T02:30:00,2018-06-15T05:30:00
2B019,2B,CR2,KZN,LED,2018-06-10T11:00:00,2018-06-10T16:55:00
2B020,2B,CR2,KZN,SVX,2018-06-12T09:45:00,2018-06-12T13:45:00
2B021,2B,CR2,LED,KZN,2018-06-11T00:00:00,2018-06-11T08:55:00
2B022,2B,CR2,LED,NBC,2018-06-10T14:35:00,2018-06-10T23:35:00
2B023,2B,CR2,LED,UUA,2018-06-12T02:45:00,2018-06-12T05:25:00
2B024,2B,CR2,MRV,ASF,2018-06-14T19:35:00,2018-06-15T00:50:00
2B025,2B,CR2,NBC,DME,2018-06-11T15:25:00,2018-06-11T19:20:00
2B026,2B,CR2,NBC,GYD,2018-06-12T17:25:00,2018-06-12T19:25:00
2B027,2B,CR2,NBC,LED,2018-06-11T00:20:00,2018-06-11T06:00:00
2B028,2B,CR2,NBC,SVX,2018-06-13T14:50:00,2018-06-13T21:45:00
2B029,2B,CR2,NJC,SVX,2018-06-10T05:40:00,2018-06-10T11:55:00
2B030,2B,CR2,NJC,UUA,2018-06-14T01:05:00,2018-06-14T03:05:00
2B031,2B,CR2,NUX,SVX,2018-06-11T23:30:00,2018-06-12T05:30:00
2B032,2B,CR2,OVB,CEK,2018-06-14T02:30:00,2018-06-14T06:50:00
2B033,2B,CR2,OVB,SVX,2018-06-10T01:55:00,2018-06-10T06:55:00
2B034,2B,CR2,SVX,KZN,2018-06-11T11:20:00,2018-06-11T19:10:00
2B035,2B,CR2,SVX,NBC,2018-06-12T11:05:00,2018-06-12T14:40:00
2B036,2B,CR2,SVX,NJC,2018-06-12T13:00:00,2018-06-12T18:00:00
2B037,2B,CR2,SVX,NUX,2018-06-12T09:50:00,2018-06-12T16:15:00
2B038,2B,CR2,SVX,OVB,2018-06-15T02:45:00,2018-06-15T07:15:00
2B039,2B,CR2,TGK,DME,2018-06-10T04:45:00,2018-06-10T11:15:00
2B040,2B,CR2,UUA,DME,2018-06-15T08:00:00,2018-06-15T14:15:00
2B041,2B,CR2,UUA,LED,2018-06-10T01:20:00,2018-06-10T09:35:00
2B042,2B,CR2,UUA,NJC,2018-06-12T07:55:00,2018-06-12T12:30:00
2G001,2G,A81,BTK,IKT,2018-06-15T13:40:00,2018-06-15T21:50:00
2G002,2G,A81,BTK,OVB,2018-06-13T21:10:00,2018-06-14T01:15:00
2G003,2G,A81,CEK,OVB,2018-06-14T08:30:00,2018-06-14T14:05:00
2G004,2G,AN4,HTA,IKT,2018-06-13T10:10:00,2018-06-13T16:30:00
2G005,2G,A81,IKT,BTK,2018-06-15T11:00:00,2018-06-15T15:35:00
2G006,2G,AN4,IKT,HTA,2018-06-14T10:30:00,2018-06-14T16:10:00
2G007,2G,AN4,IKT,KCK,2018-06-14T03:55:00,2018-06-14T09:50:00
2G008,2G,AN4,IKT,ODO,2018-06-14T06:30:00,2018-06-14T10:25:00
2G009,2G,A81,IKT,OVB,2018-06-15T17:45:00,2018-06-15T21:30:00
2G010,2G,AN4,IKT,UKX,2018-06-12T15:50:00,2018-06-12T19:20:00
2G011,2G,AN4,IKT,ULK,2018-06-12T20:30:00,2018-06-13T03:45:00
2G012,2G,A81,IKT,YKS,2018-06-10T19:30:00,2018-06-11T04:00:00
2G013,2G,AN4,KCK,IKT,2018-06-15T11:25:00,2018-06-15T15:05:00
2G014,2G,A81,MJZ,OVB,2018-06-14T01:20:00,2018-06-14T05:20:00
2G015,2G,AN4,ODO,IKT,2018-06-15T22:00:00,2018-06-16T03:55:00
2G016,2G,A81,OVB,BTK,2018-06-11T21:35:00,2018-06-12T06:35:00
2G017,2G,A81,OVB,CEK,2018-06-13T18:20:00,2018-06-14T02:05:00
2G018,2G,A81,OVB,IKT,2018-06-14T07:20:00,2018-06-14T13:30:00
2G019,2G,AN4,UKX,IKT,2018-06-15T08:40:00,2018-06-15T13:00:00
2G020,2G,AN4,ULK,IKT,2018-06-10T21:20:00,2018-06-11T04:30:00
2G021,2G,A81,YKS,IKT,2018-06-11T17:25:00,2018-06-11T20:00:00
2I001,2I,142,AYP,LIM,2018-06-15T09:45:00,2018-06-15T15:55:00
2I002,2I,142 141,CUZ,LIM,2018-06-14T00:25:00,2018-06-14T02:55:00
2I003,2I,142,CUZ,PEM,2018-06-13T13:20:00,2018-06-13T17:20:00
2I004,2I,141,HUU,LIM,2018-06-11T11:10:00,2018-06-11T15:40:00
2I005,2I,143,IQT,PCL,2018-06-12T15:55:00,2018-06-12T22:10:00
2I006,2I,142,IQT,TPP,2018-06-12T08:40:00,2018-06-12T14:25:00
2I007,2I,142,LIM,AYP,2018-06-12T13:40:00,2018-06-12T20:40:00
2I008,2I,142 141,LIM,CUZ,2018-06-15T15:45:00,2018-06-15T21:25:00
2I009,2I,141,LIM,HUU,2018-06-12T18:45:00,2018-06-12T23:45:00
2I010,2I,143 146,LIM,PCL,2018-06-13T12:20:00,2018-06-13T17:55:00
2I011,2I,142 146,LIM,TPP,2018-06-15T12:00:00,2018-06-15T20:35:00
2I012,2I,143,PCL,IQT,2018-06-14T18:40:00,2018-06-15T03:25:00
2I013,2I,143 146,PCL,LIM,2018-06-15T13:20:00,2018-06-15T15:50:00
2I014,2I,146,PCL,TPP,2018-06-11T13:50:00,2018-06-11T17:25:00
2I015,2I,142,PEM,CUZ,2018-06-11T04:40:00,2018-06-11T12:50:00
2I016,2I,142,TPP,IQT,2018-06-12T21:55:00,2018-06-13T03:35:00
2I017,2I,142 146,TPP,LIM,2018-06-10T03:10:00,2018-06-10T11:55:00
2I018,2I,146,TPP,PCL,2018-06-14T22:35:00,2018-06-15T03:30:00
2J001,2J,CRJ,ABJ,BOY,2018-06-11T07:35:00,2018-06-11T12:45:00
2J002,2J,E70 CRJ M87,ABJ,OUA,2018-06-12T17:30:00,2018-06-12T22:10:00
2J003,2J,CRJ,ACC,OUA,2018-06-12T23:30:00,2018-06-13T03:40:00
2J004,2J,M87,BKO,ABJ,2018-06-15T03:00:00,2018-06-15T07:20:00
2J005,2J,M87,BKO,DKR,2018-06-11T16:00:00,2018-06-11T18:55:00
2J006,2J,CRJ,BKO,OUA,2018-06-15T15:20:00,2018-06-15T22:30:00
2J007,2J,CRJ,BOY,ABJ,2018-06-11T13:20:00,2018-06-11T16:35:00
2J008,2J,CRJ,BOY,OUA,2018-06-11T15:50:00,2018-06-12T00:20:00
2J009,2J,M87,COO,LFW,2018-06-13T01:15:00,2018-06-13T06:25:00
2J010,2J,M87,COO,OUA,2018-06-12T08:25:00,2018-06-12T15:25:00
2J011,2J,M87,DKR,BKO,2018-06-12T02:40:00,2018-06-12T05:15:00
2J012,2J,M87,DKR,OUA,2018-06-12T20:15:00,2018-06-12T22:55:00
2J013,2J,M87 CRJ,LFW,OUA,2018-06-10T19:25:00,2018-06-11T01:10:00
2J014,2J,CRJ,NIM,OUA,2018-06-12T11:15:00,2018-06-12T17:05:00
2J015,2J,E70 CRJ M87,OUA,ABJ,2018-06-14T05:25:00,2018-06-14T11:20:00
2J016,2J,CRJ,OUA,ACC,2018-06-13T02:20:00,2018-06-13T07:50:00
2J017,2J,M87 CRJ,OUA,BKO,2018-06-12T17:30:00,2018-06-13T02:25:00
2J018,2J,CRJ,OUA,BOY,2018-06-13T22:10:00,2018-06-14T05:55:00
2J019,2J,M87,OUA,COO,2018-06-13T20:10:00,2018-06-14T05:00:00
2J020,2J,M87,OUA,DKR,2018-06-15T18:35:00,2018-06-15T22:45:00
2J021,2J,CRJ,OUA,LFW,2018-06-10T19:55:00,2018-06-11T02:15:00
2J022,2J,CRJ,OUA,NIM,2018-06-11T06:25:00,2018-06-11T10:20:00
2K001,2K,319,BOG,GYE,2018-06-11T05:55:00,2018-06-11T14:30:00
2K002,2K,319 320,BOG,UIO,2018-06-14T22:50:00,2018-06-15T07:45:00
2K003,2K,319,CLO,GYE,2018-06-14T08:10:00,2018-06-14T17:05:00
2K004,2K,319,GYE,BOG,2018-06-11T16:55:00,2018-06-11T23:25:00
2K005,2K,319,GYE,CLO,2018-06-12T17:40:00,2018-06-13T01:15:00
2K006,2K,319 320,GYE,SCY,2018-06-10T15:00:00,2018-06-10T23:20:00
2K007,2K,320 319,GYE,UIO,2018-06-11T01:30:00,2018-06-11T09:30:00
2K008,2K,319,OCC,UIO,2018-06-15T15:50:00,2018-06-15T19:25:00
2K009,2K,319 320,SCY,GYE,2018-06-14T10:35:00,2018-06-14T14:30:00
2K010,2K,319 320,UIO,BOG,2018-06-10T20:10:00,2018-06-10T22:55:00
2K011,2K,319,UIO,GYE,2018-06-13T08:55:00,2018-06-13T17:15:00
2K012,2K,319,UIO,OCC,2018-06-10T02:50:00,2018-06-10T09:05:00
2L001,2L,100,BDS,ZRH,2018-06-11T14:45:00,2018-06-11T16:50:00
2L002,2L,100,BOD,ZRH,2018-06-12T19:15:00,2018-06-12T21:30:00
